Y1,Y2,Source,Path,Station,Type,logTempSc,logPressureSc,lRange,W,HOB
9.034116188,-1.513219055,SUGAR,SU-1,Sb680,1,0.013793322,-0.195524544,5.333993343,13.99783211,1.0668
8.698814503,-1.441807071,SUGAR,SU-2,Sb920,1,0.013793322,-0.195524544,5.636274215,13.99783211,1.0668
8.694569206,-1.091686329,SUGAR,SU-3,Sb1250,1,0.013793322,-0.195524544,5.941748955,13.99783211,1.0668
8.353237937,-0.880682304,SUGAR,SU-4,Sb1700,1,0.013793322,-0.195524544,6.249009525,13.99783211,1.0668
8.013905751,-0.811142739,SUGAR,SU-5,Sb2300,1,0.013793322,-0.195524544,6.551366009,13.99783211,1.0668
