Y1,Y2,Source,Path,Station,Type,lRange,W,C2N,HOB
-18.05687471,-10.14465497,FSS-2,FSS-1,L2003,2,5.677784685,4.467056884,0.693147181,1.9
-18.53079457,-9.280633756,FSS-2,FSS-1,L5003,2,5.689247807,4.467056884,0.693147181,1.9
-18.45515672,-10.02501974,FSS-2,FSS-2,L2004,2,5.962777195,4.467056884,0.693147181,1.9
-17.69056855,-8.985304952,FSS-2,FSS-2,L5004,2,5.979825759,4.467056884,0.693147181,1.9
-18.29760799,-9.138541516,FSS-2,FSS-3,L2005,2,6.199585797,4.467056884,0.693147181,1.9
-17.98072923,-9.411155167,FSS-2,FSS-3,L5005,2,6.204740318,4.467056884,0.693147181,1.9
-18.48793793,-10.33927033,FSS-2,FSS-4,L2006,2,6.379952381,4.467056884,0.693147181,1.9
-18.42841674,-10.7220888,FSS-2,FSS-4,L5006,2,6.392350886,4.467056884,0.693147181,1.9
-18.60077374,-10.63269796,FSS-2,FSS-5,L2008,2,6.673185012,4.467056884,0.693147181,1.9
-18.62293962,-11.27601125,FSS-2,FSS-6,L2009,2,6.789378394,4.467056884,0.693147181,1.9
-19.19029756,-10.70835569,FSS-2,FSS-6,L5009,2,6.789747623,4.467056884,0.693147181,1.9
-19.06355571,-11.69075859,FSS-2,FSS-7,L2010,2,6.89994666,4.467056884,0.693147181,1.9
-19.12742996,-9.737940466,FSS-2,FSS-7,L5010,2,6.896218291,4.467056884,0.693147181,1.9
-18.9679594,-12.0299655,FSS-2,FSS-8,L2011,2,6.993395258,4.467056884,0.693147181,1.9
-14.84847887,-8.286395202,HRI-1,HR-30,W4,1,6.932443587,6.291143123,0.693147181,5
-14.25724297,-7.942227992,HRI-1,HR-30,W4,1,6.932443587,6.291143123,0.693147181,5
-15.80313077,-10.47176504,HRI-1,HR-50,W5,1,7.569505279,6.291143123,0.693147181,5
-15.24984408,-10.33278795,HRI-1,HR-50,W5,1,7.569505279,6.291143123,0.693147181,5
-13.90807342,-8.728574867,HRI-1,HR-53,E2,1,7.799761857,6.291143123,0.693147181,5
-17.24117949,-11.9329929,HRI-1,HR-59,E3,1,8.371481275,6.291143123,0.693147181,5
-16.89818775,-11.97689666,HRI-1,HR-59,E3,1,8.371481275,6.291143123,0.693147181,5
-14.77832776,-9.65965191,HRI-2,HR-30,W4,1,6.92972079,6.291143123,0.693147181,3
-14.16508883,-9.701550273,HRI-2,HR-30,W4,1,6.92972079,6.291143123,0.693147181,3
-15.69170718,-10.35601237,HRI-2,HR-50,W5,1,7.567975148,6.291143123,0.693147181,3
-15.12263046,-10.21955894,HRI-2,HR-50,W5,1,7.567975148,6.291143123,0.693147181,3
-16.42386354,-10.83268475,HRI-2,HR-53,E2,1,7.80239335,6.291143123,0.693147181,3
-15.88223901,-10.6559568,HRI-2,HR-53,E2,1,7.80239335,6.291143123,0.693147181,3
-16.4614442,-10.99233138,HRI-2,HR-55,W1,1,8.238753077,6.291143123,0.693147181,3
-17.17648151,-11.80425412,HRI-2,HR-59,E3,1,8.372768074,6.291143123,0.693147181,3
-16.79912884,-11.85653797,HRI-2,HR-59,E3,1,8.372768074,6.291143123,0.693147181,3
-17.69517423,-11.95171389,HRI-2,HR-60,E4,1,8.737528276,6.291143123,0.693147181,3
-14.81333634,-8.235281442,HRI-3,HR-30,W4,1,6.917525224,6.291143123,0.693147181,1.5
-14.15966368,-8.176003532,HRI-3,HR-30,W4,1,6.917525224,6.291143123,0.693147181,1.5
-15.83726477,-10.65474024,HRI-3,HR-50,W5,1,7.561654422,6.291143123,0.693147181,1.5
-15.29151622,-10.5223689,HRI-3,HR-50,W5,1,7.561654422,6.291143123,0.693147181,1.5
-16.5256089,-11.1628993,HRI-3,HR-53,E2,1,7.805529609,6.291143123,0.693147181,1.5
-15.97337595,-11.00737687,HRI-3,HR-53,E2,1,7.805529609,6.291143123,0.693147181,1.5
-17.57069113,-10.42509331,HRI-3,HR-55,W1,1,8.235108275,6.291143123,0.693147181,1.5
-16.80803924,-10.41366876,HRI-3,HR-55,W1,1,8.235108275,6.291143123,0.693147181,1.5
-17.21691094,-11.99749544,HRI-3,HR-59,E3,1,8.374821898,6.291143123,0.693147181,1.5
-16.81580994,-12.10687532,HRI-3,HR-59,E3,1,8.374821898,6.291143123,0.693147181,1.5
